Trial,1,2,3,4,6,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048
0,0.000153,0.000164,0.00018,0.000161,0.000172,0.000163,0.000197,0.000188,0.000181,0.000198,0.000229,0.000262,0.000325,0.000394,0.000477,0.000837,0.000839,0.001445,0.00202,0.0026,0.003677,0.003431
1,0.000303,0.000164,0.000174,0.000162,0.000169,0.00017,0.000185,0.000191,0.000168,0.000195,0.000217,0.000253,0.000318,0.000388,0.000475,0.000821,0.000834,0.00146,0.001982,0.002637,0.003484,0.003409
2,0.0003,0.000159,0.000175,0.000164,0.000171,0.000167,0.00019,0.000184,0.000172,0.000193,0.000216,0.00025,0.000319,0.000382,0.000469,0.000848,0.00084,0.00146,0.002048,0.002756,0.003626,0.003605
3,0.000304,0.000158,0.000174,0.000159,0.000167,0.000166,0.000191,0.000182,0.00017,0.000198,0.000216,0.000251,0.000319,0.00038,0.000471,0.000786,0.00085,0.001457,0.002042,0.002757,0.003528,0.003564
4,0.000308,0.000155,0.000174,0.000159,0.000173,0.000167,0.00019,0.000182,0.000169,0.000197,0.000218,0.000251,0.000319,0.000383,0.000474,0.000823,0.000828,0.001474,0.002074,0.002762,0.003673,0.003426
5,0.000303,0.000159,0.000175,0.000162,0.000171,0.000169,0.000193,0.000193,0.000174,0.0002,0.000222,0.000258,0.000322,0.000389,0.000477,0.000838,0.000836,0.001445,0.002021,0.002732,0.003599,0.003487
6,0.000302,0.00016,0.000175,0.000162,0.000172,0.000167,0.000189,0.000184,0.00017,0.000194,0.000217,0.000249,0.000319,0.000396,0.000476,0.000782,0.00083,0.001436,0.001993,0.002657,0.00343,0.003567
7,0.0003,0.000159,0.000175,0.000158,0.00017,0.000168,0.000188,0.000181,0.000173,0.000194,0.000216,0.000249,0.000322,0.000385,0.000471,0.000811,0.00083,0.001469,0.002164,0.002739,0.003682,0.003466
8,0.000302,0.000159,0.000174,0.00016,0.000173,0.000167,0.000189,0.000181,0.000173,0.000196,0.000214,0.000251,0.000323,0.000387,0.000474,0.000803,0.000842,0.001425,0.002011,0.002613,0.003671,0.003394
9,0.000303,0.000157,0.00017,0.000159,0.000167,0.00017,0.000185,0.000182,0.000172,0.000194,0.00022,0.000251,0.000323,0.00039,0.000471,0.000827,0.000854,0.001452,0.002061,0.00276,0.003543,0.003345
10,0.000418,0.000313,0.000387,0.000467,0.000418,0.000477,0.000518,0.000612,0.000576,0.000554,0.000534,0.000586,0.000681,0.000777,0.001002,0.001346,0.001657,0.002119,0.002982,0.003908,0.005355,0.005078
11,0.000437,0.000314,0.000332,0.000465,0.000418,0.000482,0.000577,0.000609,0.000583,0.000556,0.000516,0.000576,0.00068,0.00078,0.000993,0.001331,0.001616,0.001996,0.003025,0.003878,0.005047,0.005077
12,0.000431,0.000311,0.000324,0.000465,0.000426,0.00048,0.000586,0.000619,0.000561,0.000554,0.000531,0.00058,0.000682,0.000781,0.000988,0.001327,0.001638,0.002039,0.002981,0.003874,0.005226,0.004868
13,0.000435,0.000312,0.000328,0.000461,0.000423,0.000489,0.000579,0.000611,0.00057,0.000551,0.000516,0.00058,0.000686,0.000769,0.000983,0.001305,0.001639,0.002105,0.003023,0.003931,0.004965,0.005182
14,0.000429,0.000307,0.000335,0.000462,0.000418,0.000491,0.000586,0.000609,0.000591,0.000552,0.000516,0.000583,0.000685,0.000779,0.000979,0.001317,0.001609,0.002123,0.003103,0.003719,0.004904,0.00484
15,0.000433,0.000313,0.000336,0.000463,0.000432,0.000491,0.000583,0.000618,0.000576,0.000559,0.000523,0.00058,0.000684,0.000791,0.000959,0.001341,0.001627,0.002121,0.003135,0.003889,0.005151,0.005136
16,0.000431,0.000308,0.000335,0.000458,0.000422,0.000483,0.000577,0.000614,0.000564,0.00056,0.000528,0.000581,0.000679,0.000773,0.000998,0.001316,0.001638,0.002089,0.002994,0.003819,0.005287,0.005064
17,0.00043,0.000311,0.000333,0.000458,0.000419,0.00049,0.00059,0.000606,0.00057,0.000554,0.000522,0.000578,0.000669,0.000777,0.001001,0.001316,0.001664,0.002089,0.003147,0.004014,0.005115,0.005038
18,0.00043,0.00031,0.000314,0.000457,0.00042,0.00048,0.00058,0.000617,0.000574,0.000547,0.000517,0.000578,0.000687,0.000783,0.001006,0.001317,0.001632,0.002083,0.002954,0.003929,0.004957,0.00517
19,0.000431,0.00031,0.000329,0.000459,0.000421,0.000487,0.000585,0.000613,0.000576,0.000559,0.000526,0.00058,0.000687,0.000771,0.000991,0.001333,0.001668,0.002057,0.002935,0.003844,0.004976,0.005205
