Threads,P-Batch-Clip,DP-Clip,DP-Batch-Clip
1,28.862740000000002,151.43980000000002,29.06713
2,15.44555,83.04531,15.797749999999999
4,7.968199,43.89524,8.149039
8,4.359579999999999,25.23974,4.6568629999999995
16,2.822542,16.61308,3.1144109999999996
32,2.308367,11.44151,2.170376
64,2.297183,9.880576999999999,2.053489
128,2.311743,9.678813,2.0561879999999997
