Threads,P-Batch-Clip,DP-Clip,DP-Batch-Clip
1,13.25385,76.67465999999999,14.73057
2,6.983728999999999,41.11515,7.967484000000001
4,3.609769,21.48863,4.144178
8,1.9419809999999997,12.08415,2.34509
16,1.231763,7.843808,1.47936
32,0.8561738999999999,5.281594,0.9855532
64,0.8346039,4.328291999999999,0.9128164999999999
128,0.8324016999999999,4.13327,0.8930066999999999
