Algorithm,Torso_per_0.2,Torso_per_0.2_ratio,Torso_per_0.5,Torso_per_0.5_ratio,Torso_per_0.8,Torso_per_0.8_ratio,CX-1_per_0.2,CX-1_per_0.2_ratio,CX-1_per_0.5,CX-1_per_0.5_ratio,CX-1_per_0.8,CX-1_per_0.8_ratio,JSM_per_0.2,JSM_per_0.2_ratio,JSM_per_0.5,JSM_per_0.5_ratio,JSM_per_0.8,JSM_per_0.8_ratio,F-15_per_0.2,F-15_per_0.2_ratio,F-15_per_0.5,F-15_per_0.5_ratio,F-15_per_0.8,F-15_per_0.8_ratio,JSM-tet_per_0.2,JSM-tet_per_0.2_ratio,JSM-tet_per_0.5,JSM-tet_per_0.5_ratio,JSM-tet_per_0.8,JSM-tet_per_0.8_ratio,F-15-tet_per_0.2,F-15-tet_per_0.2_ratio,F-15-tet_per_0.5,F-15-tet_per_0.5_ratio,F-15-tet_per_0.8,F-15-tet_per_0.8_ratio
DP-Clip,0.02,1.58,0.02,1.36,0.02,1.22,0.05,1.90,0.05,1.51,0.06,1.27,0.62,6.88,1.07,3.06,1.25,2.90,1.53,9.63,2.53,3.44,2.81,3.19,1.81,13.89,2.60,4.81,3.05,4.40,,,,,,
DP-Batch-Clip,0.01,1.00,0.02,1.00,0.02,1.00,0.03,1.00,0.03,1.00,0.04,1.00,0.09,1.00,0.35,1.00,0.43,1.00,0.16,1.00,0.74,1.00,0.88,1.00,0.13,1.00,0.54,1.00,0.69,1.00,0.28,1.00,2.14,1.00,,
