Algorithm,Torso_per_0.2,Torso_per_0.2_ratio,Torso_per_0.5,Torso_per_0.5_ratio,Torso_per_0.8,Torso_per_0.8_ratio,CX-1_per_0.2,CX-1_per_0.2_ratio,CX-1_per_0.5,CX-1_per_0.5_ratio,CX-1_per_0.8,CX-1_per_0.8_ratio,JSM_per_0.2,JSM_per_0.2_ratio,JSM_per_0.5,JSM_per_0.5_ratio,JSM_per_0.8,JSM_per_0.8_ratio,F-15_per_0.2,F-15_per_0.2_ratio,F-15_per_0.5,F-15_per_0.5_ratio,F-15_per_0.8,F-15_per_0.8_ratio,JSM-tet_per_0.2,JSM-tet_per_0.2_ratio,JSM-tet_per_0.5,JSM-tet_per_0.5_ratio,JSM-tet_per_0.8,JSM-tet_per_0.8_ratio,F-15-tet_per_0.2,F-15-tet_per_0.2_ratio,F-15-tet_per_0.5,F-15-tet_per_0.5_ratio,F-15-tet_per_0.8,F-15-tet_per_0.8_ratio
S-Clip,0.12,2.04,0.18,2.14,0.25,2.39,0.75,2.05,1.08,2.13,1.46,2.20,4.25,2.94,11.38,2.34,13.88,2.60,9.07,2.84,26.64,2.26,30.99,2.33,7.67,3.72,20.80,2.83,25.82,3.07,16.88,3.61,53.98,2.22,64.81,2.24
P-Batch-Clip,0.06,1.01,0.09,1.00,0.10,1.00,0.37,1.00,0.51,1.00,0.66,1.00,2.24,1.55,5.15,1.06,5.60,1.05,5.20,1.63,11.80,1.00,13.32,1.00,4.26,2.06,9.24,1.26,10.37,1.23,9.21,1.97,24.84,1.02,28.98,1.00
DP-Clip,0.35,6.12,0.48,5.66,0.63,6.06,2.26,6.13,3.04,6.00,3.90,5.89,17.24,11.93,29.24,6.03,33.72,6.32,35.11,10.99,67.75,5.74,76.67,5.76,35.71,17.29,54.20,7.37,61.29,7.28,81.51,17.43,136.51,5.61,151.18,5.22
DP-Batch-Clip,0.06,1.00,0.10,1.20,0.14,1.39,0.40,1.08,0.77,1.53,1.21,1.83,1.44,1.00,4.85,1.00,5.33,1.00,3.19,1.00,12.45,1.06,14.77,1.11,2.07,1.00,7.35,1.00,8.42,1.00,4.68,1.00,24.32,1.00,29.08,1.00
