Trial,1,2,3,4,6,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048
0,0.117544,0.0715934,0.0432578,0.0349607,0.0231316,0.0196575,0.0145625,0.00983424,0.00677905,0.00515239,0.00402221,0.00103432,0.000718846,0.000843066,0.000573687,0.00044585,0.00105392,0.000670924,0.00178929,0.000476889,0.00029061,0.000322733
1,0.119047,0.0623609,0.0433517,0.0341888,0.0240054,0.0168371,0.0180009,0.00963272,0.00719008,0.00524941,0.00352451,0.000656716,0.000527016,0.000573817,0.000436913,0.000345827,0.000331339,0.000213191,0.000178975,0.000173315,0.000168014,0.000157063
2,0.142521,0.0623261,0.0431482,0.034467,0.0274499,0.016537,0.0127411,0.00961429,0.00652173,0.0064025,0.00391968,0.000652198,0.000565651,0.000503842,0.000380253,0.000346018,0.00026462,0.000240584,0.000201539,0.000194515,0.000170098,0.000157694
3,0.119614,0.062787,0.0437709,0.0334744,0.0261216,0.0175308,0.0131159,0.0102897,0.00738528,0.00524603,0.00382077,0.000651005,0.00057559,0.000546073,0.000450509,0.000356367,0.001382,0.000245364,0.000244071,0.000184646,0.000173245,0.000146052
4,0.118375,0.0625296,0.0435978,0.0332014,0.0243075,0.0170652,0.0124006,0.00999801,0.00714321,0.00551426,0.00426438,0.000661405,0.000509012,0.000457061,0.000396244,0.000338483,0.000293937,0.000215165,0.000233872,0.000160991,0.000143457,0.000159527
5,0.119521,0.0632269,0.0493824,0.039569,0.0239927,0.0169786,0.0129363,0.0099459,0.00732691,0.00601447,0.00445367,0.000709028,0.000738976,0.00045648,0.000343142,0.000301822,0.00036316,0.00024346,0.00143708,0.000195587,0.000137124,0.000148056
6,0.119339,0.0615984,0.0429356,0.0340268,0.0248014,0.0163467,0.0123661,0.00999219,0.0066874,0.00581361,0.00382977,0.000639964,0.000623904,0.000455979,0.000363511,0.00036314,0.000289859,0.000245784,0.000213301,0.00016593,0.000163686,0.000166731
7,0.119086,0.0620286,0.0426526,0.0343884,0.0242014,0.016382,0.0126899,0.0100794,0.00751959,0.00573052,0.00404584,0.000646857,0.000664952,0.000443265,0.000371316,0.000315118,0.000276032,0.000325007,0.000228742,0.000222439,0.0001556,0.000201208
8,0.119262,0.062227,0.0438768,0.033779,0.0242054,0.0161138,0.0126941,0.00983096,0.00651461,0.00530219,0.00399813,0.000710611,0.000546604,0.000459547,0.000382437,0.000331219,0.000265422,0.000236296,0.000187121,0.00019217,0.00017133,0.000152905
