Trial,1,2,3,4,6,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048
0,0.0405428,0.0369404,0.0363599,0.0348097,0.0338411,0.0337618,0.0330622,0.032803,0.0330403,0.0322851,0.0321155,0.0322916,0.0319317,0.032583,0.0320803,0.0312006,0.0316897,0.0312374,0.0313394,0.0317389,0.0305875,0.0326138
1,0.0404077,0.0371248,0.0366076,0.0351455,0.0340324,0.033439,0.0329212,0.0328442,0.032799,0.032322,0.0364598,0.0320008,0.0322071,0.032224,0.0325207,0.0312016,0.0316503,0.0313079,0.0319092,0.0314529,0.0317895,0.0352213
2,0.0404005,0.0383259,0.0363611,0.035037,0.0341865,0.0335066,0.0329649,0.0325759,0.0325397,0.0317806,0.0321742,0.0323787,0.0318139,0.0330554,0.0320077,0.031298,0.0316373,0.0314221,0.0316659,0.0297374,0.0329529,0.0368969
3,0.040351,0.0375117,0.0364143,0.0367342,0.0340958,0.0335471,0.0331096,0.0326897,0.0324459,0.0321249,0.0322311,0.0321161,0.0321646,0.0333749,0.0329033,0.0313313,0.0315029,0.0315827,0.0317515,0.0301787,0.0310917,0.0336374
4,0.0403954,0.0375637,0.0362815,0.035038,0.0340485,0.0337265,0.0331742,0.0326829,0.0324104,0.0321249,0.0319697,0.0320252,0.0319776,0.0328316,0.0320258,0.0317804,0.0316949,0.0312016,0.031367,0.0316208,0.0309034,0.0342841
5,0.0408955,0.037569,0.0361578,0.0350792,0.0342556,0.0336039,0.033037,0.0327177,0.0325884,0.0335295,0.0322507,0.0322623,0.0319714,0.0324591,0.0320635,0.0317063,0.0313749,0.0315492,0.0311563,0.0313985,0.0309555,0.0311834
6,0.0404669,0.0376007,0.0362915,0.0348143,0.035349,0.0334655,0.0329529,0.0328637,0.0324384,0.0319859,0.032363,0.0320537,0.0322137,0.0325994,0.0326051,0.0314056,0.0316675,0.0312788,0.0316051,0.0327911,0.0301459,0.0347706
7,0.0401806,0.0375349,0.0362071,0.0347427,0.034371,0.0334896,0.0330805,0.0327975,0.0324401,0.0321046,0.0324748,0.0319734,0.032037,0.0326511,0.0326391,0.0316449,0.0313134,0.0309045,0.0313314,0.0309552,0.0309847,0.0361943
8,0.0404695,0.0373754,0.0364079,0.03475,0.0343604,0.0334513,0.0329353,0.033048,0.0325544,0.0323543,0.0325185,0.0320798,0.0319259,0.0328716,0.0330202,0.0316,0.0318789,0.0312623,0.0314056,0.0324327,0.0304142,0.0305528
9,0.0402809,0.037551,0.0363121,0.0350035,0.0344694,0.0334575,0.0331512,0.0331896,0.0322266,0.0321322,0.031992,0.0322242,0.0318447,0.0325679,0.0325688,0.0315613,0.0319196,0.0313462,0.0311086,0.0325774,0.0298825,0.0334127
10,0.0411465,0.0375999,0.0375889,0.0349331,0.035409,0.034996,0.0330638,0.032895,0.0332698,0.0326277,0.0385023,0.0327128,0.033207,0.0335019,0.0342054,0.0322907,0.0319,0.0318729,0.0331971,0.0313848,0.0308681,0.0334018
11,0.0411245,0.0376255,0.0369621,0.0350621,0.0348412,0.0339527,0.0332126,0.0330669,0.0326813,0.0336854,0.0329084,0.0328907,0.0329163,0.0332599,0.0339846,0.0322514,0.0318331,0.0315886,0.0320499,0.0323355,0.0327812,0.0344863
12,0.0411844,0.0377366,0.036003,0.0350936,0.0344569,0.034034,0.0333555,0.0329532,0.032609,0.0330934,0.0327451,0.0331461,0.0332137,0.0329773,0.0341219,0.032471,0.031787,0.031643,0.0317737,0.0316998,0.0309914,0.0302583
13,0.0413836,0.0377122,0.0359985,0.0351211,0.0344654,0.0339687,0.0332276,0.0329921,0.0327833,0.0330225,0.0329986,0.0330199,0.0327549,0.0339714,0.0329448,0.0321844,0.0319329,0.0315907,0.0315477,0.031332,0.0311954,0.0329325
14,0.0411279,0.0374954,0.0360858,0.0353755,0.0344894,0.0339606,0.0343999,0.0328195,0.0328251,0.0338886,0.0325945,0.0328707,0.032961,0.0335779,0.0337807,0.0321193,0.0319402,0.0316668,0.0316674,0.0306478,0.0310235,0.03373
15,0.0411213,0.0377555,0.035912,0.0353373,0.0344654,0.0340067,0.033288,0.033118,0.0329543,0.0333122,0.0327232,0.0330897,0.0332466,0.0331504,0.0333285,0.0322403,0.0319463,0.0318461,0.0316879,0.0314066,0.031724,0.0313611
16,0.0408395,0.03756,0.0361117,0.0354819,0.0344494,0.0340082,0.0331157,0.0331807,0.0325614,0.0329012,0.0326052,0.0332225,0.0326705,0.03364,0.033176,0.0322325,0.0319666,0.0317026,0.0315266,0.0313189,0.0317301,0.0356671
17,0.0408472,0.0377593,0.0358915,0.0352042,0.0344483,0.0337732,0.0330397,0.0330356,0.0326665,0.0333404,0.0327699,0.0332171,0.0328842,0.0324654,0.0332554,0.032135,0.031971,0.0317311,0.0315708,0.0317603,0.0312555,0.0353498
