Trial,1,2,3,4,6,8,12,16,24,32,48,64,96,128,192,256,384,512,768,1024,1536,2048
0,0.920739,0.814126,0.755892,0.721251,0.68142,0.658856,0.632051,0.617515,0.603279,0.59651,0.601249,0.581612,0.576238,0.573923,0.571793,0.570126,0.569408,0.567606,0.565567,0.565745,0.565005,0.565729
1,0.920648,0.813898,0.755694,0.720792,0.684225,0.657329,0.631857,0.617027,0.602237,0.59404,0.585753,0.580655,0.576426,0.573514,0.570953,0.569809,0.566984,0.56671,0.568612,0.565998,0.56954,0.564703
2,0.920326,0.813589,0.757008,0.723173,0.68107,0.657234,0.630675,0.625291,0.603532,0.595424,0.585642,0.580967,0.576493,0.573791,0.571407,0.570191,0.567104,0.567062,0.565664,0.56835,0.567713,0.573886
3,0.921301,0.814363,0.75606,0.722612,0.68102,0.657694,0.631514,0.616942,0.60206,0.594967,0.584565,0.580118,0.577719,0.574046,0.572023,0.569125,0.567394,0.567731,0.566339,0.569217,0.56789,0.562692
4,0.922081,0.814125,0.755751,0.722067,0.681348,0.657894,0.631614,0.616596,0.602983,0.595387,0.585535,0.58051,0.575319,0.574256,0.571029,0.570394,0.568527,0.567292,0.565694,0.564501,0.569488,0.564731
5,0.921311,0.815634,0.757145,0.721543,0.681137,0.658244,0.631264,0.61659,0.603844,0.593272,0.58533,0.579987,0.576163,0.574821,0.571693,0.569721,0.567742,0.566896,0.565769,0.566382,0.564669,0.565774
6,0.920489,0.813222,0.757005,0.721349,0.680995,0.658023,0.631659,0.616768,0.60277,0.593239,0.586166,0.580443,0.575644,0.573807,0.571607,0.56935,0.568159,0.568589,0.565574,0.566147,0.569313,0.563543
7,0.919585,0.813905,0.756445,0.720925,0.68165,0.658322,0.631897,0.616849,0.600233,0.594423,0.585931,0.581231,0.57655,0.57589,0.570862,0.56998,0.567919,0.567109,0.567896,0.56481,0.567689,0.563796
8,0.920937,0.813818,0.755797,0.722462,0.681172,0.657856,0.631422,0.617249,0.600803,0.594351,0.586145,0.581478,0.575783,0.573793,0.570832,0.569392,0.567387,0.567582,0.565916,0.566038,0.564806,0.565496
9,0.922409,0.814052,0.757011,0.72278,0.681732,0.661557,0.631747,0.616927,0.601336,0.591962,0.586105,0.581463,0.576112,0.574013,0.571525,0.569235,0.568355,0.567514,0.566326,0.565313,0.565725,0.562269
10,0.923802,0.812594,0.757273,0.723462,0.682752,0.658701,0.632369,0.619709,0.604767,0.596287,0.588047,0.583859,0.579265,0.576453,0.572689,0.572379,0.570088,0.569745,0.566231,0.568638,0.566579,0.563893
11,0.923642,0.813673,0.758659,0.723202,0.682241,0.661447,0.632716,0.620873,0.603649,0.596226,0.58819,0.583862,0.579207,0.576125,0.573268,0.572722,0.570745,0.569515,0.56627,0.565891,0.567693,0.565969
12,0.923343,0.81374,0.758182,0.72306,0.682243,0.660287,0.633942,0.6193,0.603449,0.597414,0.588354,0.583064,0.579651,0.576107,0.574754,0.573156,0.568583,0.568647,0.568693,0.568929,0.569828,0.563522
13,0.923311,0.812803,0.757974,0.724484,0.681538,0.661209,0.633085,0.619414,0.603849,0.596214,0.587757,0.583145,0.577999,0.575853,0.572835,0.571827,0.570415,0.57032,0.56839,0.565533,0.567083,0.572812
14,0.93189,0.813984,0.756669,0.723505,0.681877,0.660517,0.63306,0.641841,0.603286,0.59594,0.587855,0.582161,0.57831,0.578522,0.573542,0.571715,0.570185,0.569104,0.570282,0.568906,0.569067,0.5665
15,0.922526,0.814377,0.758696,0.724702,0.682067,0.66068,0.632242,0.619397,0.603841,0.596102,0.587406,0.582435,0.578972,0.575439,0.575039,0.570687,0.570078,0.570673,0.567269,0.57033,0.568374,0.566772
16,0.923068,0.812603,0.757268,0.723923,0.682055,0.660477,0.633293,0.620376,0.603869,0.596782,0.586896,0.582768,0.579864,0.576854,0.573387,0.571999,0.570762,0.569788,0.56636,0.567677,0.567835,0.566466
17,0.947557,0.811266,0.757614,0.723122,0.68326,0.661086,0.632193,0.620444,0.60416,0.59531,0.587502,0.583112,0.57945,0.594123,0.573453,0.570304,0.56982,0.56916,0.567725,0.567477,0.570959,0.567286
18,0.923261,0.812519,0.757168,0.724181,0.682349,0.660101,0.634148,0.61912,0.604848,0.594855,0.587786,0.583163,0.579947,0.576334,0.572834,0.571971,0.568658,0.569006,0.569755,0.566752,0.569456,0.563624
19,0.923523,0.813025,0.758155,0.723424,0.682083,0.659564,0.632543,0.619594,0.603675,0.595691,0.588088,0.583113,0.583288,0.575104,0.57397,0.571342,0.568768,0.569169,0.567195,0.569776,0.570293,0.565033
20,0.91207,0.813857,0.757007,0.721949,0.681702,0.658969,0.643078,0.619079,0.60532,0.596643,0.588015,0.583353,0.578601,0.575478,0.572241,0.571812,0.570404,0.56792,0.56756,0.56885,0.572609,0.565882
21,0.919191,0.814489,0.75749,0.724369,0.683239,0.659153,0.633618,0.618741,0.60501,0.59503,0.58847,0.582896,0.576081,0.576277,0.572749,0.571554,0.570417,0.568558,0.567695,0.567385,0.566987,0.567603
